City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Havelock,US,88.03,overcast clouds,34.8791,-76.9013,Sherwood Motel
640,Luganville,VU,76.75,broken clouds,-15.5333,167.1667,The Espiritu Hotel
643,Lahaina,US,85.75,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
645,Buckeye,US,83.21,mist,33.3703,-112.5838,Buckeye Motor Hotel
646,Surt,LY,80.49,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
649,Alto Araguaia,BR,85.98,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
657,Cockburn Town,TC,82.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
662,Mizdah,LY,82.26,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
664,Dhali,IN,75.25,overcast clouds,10.5,77.1667,Travellers bungalow
666,Morant Bay,JM,85.66,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
669,Bela,IN,84.42,light rain,25.9333,81.9833,Raj Bhawan
670,Ranong,TH,78.82,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
680,Lincoln,US,87.3,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
681,Kuju,IN,79.54,overcast clouds,23.7167,85.5,Muskan Hotel
683,The Valley,AI,84.81,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
684,Kenora,CA,79.77,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
685,Cardston,CA,86.29,clear sky,49.2,-113.3019,Flamingo Motel
687,Dzilam Gonzalez,MX,88.83,overcast clouds,21.2833,-88.9333,posadas
692,Shache,CN,85.86,clear sky,38.4167,77.2406,Delong Hotel
697,Venkatagiri,IN,84.36,few clouds,13.9667,79.5833,Akhilesh house
703,Anito,PH,81.12,broken clouds,12.4497,125.2886,The Yellow House
705,Totness,SR,79.66,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
709,Balkhash,KZ,79.83,clear sky,46.844,74.9804,Family
