City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Farragut,US,35.8845,-84.1535,93.85,61,75,4.61,broken clouds
276,Te Anau,NZ,-45.4167,167.7167,44.53,98,100,1.57,light rain
277,Sitka,US,57.0531,-135.33,57.09,77,75,5.75,light rain
278,Kaele,CM,10.1092,14.4508,76.24,83,100,3.53,light rain
279,Khash,IR,28.2211,61.2158,86.56,13,9,2.57,clear sky
280,Alofi,NU,-19.0595,-169.9187,76.89,94,40,10.36,scattered clouds
281,Turukhansk,RU,65.8167,87.9833,63.48,76,19,5.41,few clouds
282,Mersing,MY,2.4312,103.8405,78.71,94,7,4.61,clear sky
283,Lagoa,PT,39.05,-27.9833,70.23,77,100,12.28,overcast clouds
284,Mecca,SA,21.4267,39.8261,88.84,35,36,7.31,scattered clouds
285,Teguise,ES,29.0605,-13.564,70.02,73,20,24.16,few clouds
286,Ganzhou,CN,28.8184,115.4327,77.61,80,35,1.5,scattered clouds
287,Hovd,MN,48.0056,91.6419,65.61,58,45,3.53,scattered clouds
288,Lerwick,GB,60.1545,-1.1494,57.2,86,1,6.85,clear sky
289,Brazzaville,CG,-4.2658,15.2832,75.51,73,15,4.61,few clouds
290,Shahr-E Babak,IR,30.1165,55.1186,80.71,8,0,14.58,clear sky
291,Bairiki,KI,1.3292,172.9752,75.2,94,75,0.0,broken clouds
292,La Pintada,CO,5.7487,-75.6063,87.06,88,87,2.08,overcast clouds
293,Morrope,PE,-6.5417,-80.0111,73.51,60,10,16.55,clear sky
294,Bathsheba,BB,13.2167,-59.5167,84.81,79,20,11.5,few clouds
295,Rawson,AR,-43.3002,-65.1023,51.44,38,25,18.88,scattered clouds
296,Mali,GN,12.079,-12.2982,62.37,94,100,2.13,moderate rain
297,Nioro,GM,13.35,-15.75,80.73,66,100,9.28,overcast clouds
298,Mastic Beach,US,40.7668,-72.8521,81.39,83,40,1.99,scattered clouds
299,Esperantina,BR,-3.9017,-42.2336,92.88,28,56,3.06,broken clouds
300,Vysokogornyy,RU,50.1167,139.15,68.9,90,100,3.51,overcast clouds
301,Sault Sainte Marie,CA,46.5168,-84.3333,79.36,53,1,10.36,haze
302,Caravelas,BR,-17.7125,-39.2481,71.06,71,29,7.83,scattered clouds
303,Zyryanka,RU,65.75,150.85,45.64,72,100,16.6,light rain
304,Ipixuna,BR,-1.7625,-48.8043,89.55,46,39,2.55,scattered clouds
305,Vila Velha,BR,-20.3297,-40.2925,73.35,64,40,9.22,scattered clouds
306,Sao Felix Do Xingu,BR,-6.6447,-51.995,94.64,23,77,4.63,broken clouds
307,Balikpapan,ID,-1.2675,116.8289,75.24,83,35,6.91,scattered clouds
308,Sola,VU,-13.8833,167.55,79.88,80,55,9.82,broken clouds
309,Ekhabi,RU,53.5102,142.9671,70.39,79,100,8.72,overcast clouds
310,Veinticinco De Mayo,AR,-35.4323,-60.1727,60.06,77,2,5.99,clear sky
311,Port-Gentil,GA,-0.7193,8.7815,76.96,83,75,5.75,broken clouds
312,Lake City,US,30.1897,-82.6393,91.98,48,40,3.44,scattered clouds
313,Ilhabela,BR,-23.7781,-45.3581,70.39,65,0,3.47,clear sky
314,Shenjiamen,CN,29.9576,122.298,77.5,94,100,32.44,moderate rain
315,Asau,RO,46.4333,26.4,69.76,84,82,2.59,broken clouds
316,Kruisfontein,ZA,-34.0033,24.7314,54.28,37,70,5.91,broken clouds
317,Taltal,CL,-25.4,-70.4833,60.76,71,24,5.26,few clouds
318,Balabac,PH,7.9868,117.0645,83.35,81,14,10.94,few clouds
319,Walvis Bay,NA,-22.9575,14.5053,77.95,12,30,14.97,scattered clouds
320,Bud,US,39.447,-86.1758,88.21,76,35,3.22,scattered clouds
321,Suriapet,IN,17.15,79.6167,80.58,73,36,10.65,scattered clouds
322,Lompoc,US,34.6391,-120.4579,86.77,66,99,5.99,overcast clouds
323,Tura,IN,25.5198,90.2201,75.56,95,100,5.1,overcast clouds
324,Seoul,KR,37.5683,126.9778,81.97,65,0,10.36,clear sky
325,Natal,BR,-5.795,-35.2094,80.82,69,40,13.8,scattered clouds
326,Antalya,TR,36.7741,30.7178,84.79,32,0,8.05,clear sky
327,Camacupa,AO,-12.0167,17.4833,60.6,40,0,3.4,clear sky
328,Tuy Hoa,VN,13.0833,109.3,81.7,64,92,16.93,overcast clouds
329,Narasannapeta,IN,18.4167,84.05,82.71,76,100,6.71,overcast clouds
330,Nalut,LY,30.3333,10.85,86.74,14,0,11.3,clear sky
331,Elko,US,41.0002,-115.5012,95.02,5,7,1.99,clear sky
332,Sarangani,PH,5.4033,125.4636,83.53,74,98,12.75,overcast clouds
333,Imbituba,BR,-28.24,-48.6703,67.89,72,100,11.25,overcast clouds
334,Broome,US,42.2506,-75.833,85.69,64,40,3.0,scattered clouds
335,Dingle,PH,10.9995,122.6711,77.14,89,34,9.69,scattered clouds
336,Khandyga,RU,62.6667,135.6,56.57,94,63,2.66,broken clouds
337,Lahij,YE,13.1667,44.5833,81.3,68,63,1.59,broken clouds
338,Mezhova,UA,48.2532,36.7347,72.82,55,97,7.27,overcast clouds
339,Coihaique,CL,-45.5752,-72.0662,42.75,52,40,8.05,scattered clouds
340,Beboto,TD,8.2668,16.939,73.62,90,100,6.13,overcast clouds
341,Marrakesh,MA,31.6315,-8.0083,87.87,30,0,11.5,clear sky
342,Guaruja,BR,-23.9931,-46.2564,87.4,47,0,1.99,clear sky
343,Pringsewu,ID,-5.3582,104.9744,68.77,90,0,1.61,clear sky
344,Tessalit,ML,20.1986,1.0114,90.59,34,99,18.57,overcast clouds
345,Ashland,US,40.8167,-82.2665,88.68,58,41,6.02,scattered clouds
346,Placido De Castro,BR,-10.3353,-67.1856,98.71,25,23,3.24,few clouds
